Zeit: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:     1 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:     4 s; Temperatur: 20.20°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:     6 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:     8 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 54.00%
Zeit:    10 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    12 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    14 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    16 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    18 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    20 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    22 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    24 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    26 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    28 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    30 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    32 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    34 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    36 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    38 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    40 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    42 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    44 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:    46 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:    48 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:    50 s; Temperatur: 20.30°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:    52 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 51.00%
Zeit:    54 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    56 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    58 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    60 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    62 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    64 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 52.00%
Zeit:    66 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 53.00%
Zeit:    68 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 55.00%
Zeit:    70 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 55.00%
Zeit:    72 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 55.00%
Zeit:    74 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:    76 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:    78 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:    81 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    83 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    85 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    87 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    89 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    91 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:    93 s; Temperatur: 20.40°C; rel. Luftfeuchtigkeit: 56.00%
Zeit:    95 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 57.00%
Zeit:    97 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:    99 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 58.00%
Zeit:   101 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 59.00%
Zeit:   103 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 60.00%
Zeit:   105 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   107 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   109 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 61.00%
Zeit:   111 s; Temperatur: 20.50°C; rel. Luftfeuchtigkeit: 62.00%
Zeit:   113 s; Temperatur: 20.60°C; rel. Luftfeuchtigkeit: 62.00%
